CASE_ID,FARM_ID,fulltime_worker_22,parttime_worker_22,employees_22,fulltime_worker_21,partime_worker_21,employees_21,lease_price(per ha),lease_land,sell_land,buy_land,max_buy_price,tractor_value,unit,tractor_and_equip,agri_equip,unit,caws,pigs,credit_applied,credit_recieved,last_credit_year,credit_amount,unit,interest_rate,working_capital_invest,public_social_support_21,support_amount_21,relative_support_21,relative_amount_21,public_social_support_22,support_amount_22,relative_support_22,relative_amount_22,monetary_assistance_22,monetary_amount(UAH),technical_assistance,government,ngo,other_farmers,int_org,private_supplier,require_technical_assistance,kind_of_assistance_1,assistance_provider,kind_of_assistance_2,assistance2_provider,relative/neighbour_support,support_amount,country_situation_before_war,country_situation_now,personal_before_war,personal_now,s3_q14c_1,s3_q14c_2,s3_q14c_3,s3_q14c_4,s3_q14c_5,s3_q14c_8,s3_q14c_9,s3_q14c_6,s3_q14c_7,govt_1,govt_2,govt_3,govt_4,govt_5
4968826,8454,1,1,0,1,1,0,3000,Yes,No,Yes,,900000,UAH,,260000,UAH,0,0,Yes,Yes,2021,,,,Yes,No,,No,,No,,No,,No,,No,,,,,,,,,,,No,,10 - Very Good,8,10 - Very Good,7,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
4914858,6111,3,2,0,2,3,0,5000,Yes,No,Yes,50000,10000,USD,,1000000,UAH,0,0,No,No,,,,,,No,,No,,No,,No,,No,,Yes,No,No,No,No,Yes,Rather agree,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",NGO,Getting credit,International organization,Yes,100000,7,4,8,4,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
6400228,6771,1,0,0,1,0,0,280,Yes,No,Yes,,160000,UAH,,100000,UAH,0,2,Yes,Yes,2012,80000,UAH,,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,Government,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Government,No,,3,2,5,4,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
4913233,6388,0,0,10,0,0,10,,No,No,No,,0,,,700000,UAH,0,0,No,No,,,,,,No,,No,,No,,No,,No,,No,,,,,,,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Government,,,No,,9,4,8,4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
4794302,3663,1,1,1,1,1,1,7000,Yes,No,Yes,20000,0,,,0,,0,0,Yes,Yes,2022,980000,UAH,0,Yes,No,,,,No,,No,,No,,No,,,,,,,Getting credit,International organization,Trainings related to doing business or management,Government,,,8,5,9,4,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
4758592,4227,0,0,2,0,0,2,6700,Yes,No,Yes,120000,10000,USD,,10000,USD,0,0,Yes,Yes,2022,,,0,Yes,No,,No,,No,,No,,No,,Yes,No,Yes,No,No,No,Rather agree,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Input suppliers/dealers,Getting credit,Banks,Yes,,5,5,5,5,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
4826812,2595,0,1,0,1,1,0,6200,Yes,No,Yes,80000,0,,,0,,0,0,No,No,,,,,,No,,No,,No,,No,,No,,Yes,No,No,Yes,No,No,Rather agree,"Advisories on agricultural issues (e.g. variety choice, fertilizer application, pest control etc.)",Other farmers,Providing literature,Other farmers,Yes,10000,10 - Very Good,3,8,3,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
4909995,5966,1,2,0,1,2,0,,Yes,No,Yes,80000,15000,USD,,30000,USD,0,0,Yes,Yes,2021,170000,UAH,,Yes,No,,No,,No,,No,,No,,No,,,,,,,Getting credit,,,,Yes,,7,3,8,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
4820503,2643,2,0,2,2,0,3,5000,Yes,No,Yes,,1000000,EURO,,200000,USD,0,0,Yes,No,,,,,,,,No,,No,,No,,No,,No,,,,,,,,,,,No,,8,1 - Very Bad,8,3,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
4793988,2793,,,5,,,5,,Yes,No,,,2000000,UAH,,0,,0,0,Yes,No,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,Rather agree,Trainings related to doing business or management,International organization,Getting credit,International organization,No,,8,8,8,8,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
4940063,2206,1,0,3,1,0,3,17000,Yes,No,Yes,80000,1175000,UAH,,2996000,UAH,0,0,Yes,Yes,2022,1000000,UAH,5,Yes,Yes,20 000 - 40 000 UAH,,,Yes,20 000 - 40 000 UAH,,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,,,8,1 - Very Bad,9,2,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
4907971,5011,2,0,12,2,0,12,6000,Yes,No,Yes,50000,2838020352,UAH,,2.00E+08,UAH,0,0,Yes,Yes,2022,1200000,UAH,14,Yes,Yes,40 000 - 60 000 UAH,Yes,,Yes,,Yes,Less than 20 000 UAH,No,,No,,,,,,,Getting credit,Government,Trainings related to doing business or management,Input suppliers/dealers,Yes,500000,8,5,8,5,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
4807047,3317,2,0,1,2,0,1,6000,No,No,Yes,,500000,UAH,,800000,UAH,0,0,Yes,Yes,2022,300000,UAH,0,Yes,No,,No,,No,,No,,No,,No,,,,,,,DO NOT NEED ASSISTANCE,,,,No,,5,3,1 - Very Bad,5,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
