CASE_ID,FARM_ID,region,regname,respondent,Sex,Age,highest_Degree,Farm_area(ha),respondant_region,resident_type
4968826,8454,Central,Cherkasy,,,,,65,Cherkaska Oblast,Village
4914858,6111,Central,Cherkasy,,,,,87,Cherkaska Oblast,Urban-type settlement (SMT)
6400228,6771,Central,Cherkasy,,,,,50,Cherkaska Oblast,Village
4913233,6388,Central,Cherkasy,Manager without any relationship to owner,Female,49,Higher (master degree or PhD),80,Cherkaska Oblast,Village
4794302,3663,Central,Cherkasy,Manager without any relationship to owner,Female,40,Higher (master degree or PhD),158,Cherkaska Oblast,Town 20 - 49 000 inhabitants
4758592,4227,Central,Cherkasy,,,,,80,Cherkaska Oblast,Village
4826812,2595,Central,Cherkasy,,,,,4,Cherkaska Oblast,Village
4909995,5966,Central,Cherkasy,,,,,76,Cherkaska Oblast,Village
4820503,2643,Central,Cherkasy,,,,,100,Cherkaska Oblast,Urban-type settlement (SMT)
4793988,2793,Central,Cherkasy,,,,,145,Cherkaska Oblast,Village
4940063,2206,Central,Cherkasy,Manager without any relationship to owner,Female,36,Higher (master degree or PhD),187,Cherkaska Oblast,Village
4907971,5011,Central,Cherkasy,,,,,421,Cherkaska Oblast,Village
4807047,3317,Central,Cherkasy,,,,,66,Cherkaska Oblast,Village
4817669,260,Central,Cherkasy,Manager without any relationship to owner,Male,41,Higher (master degree or PhD),700,Cherkaska Oblast,Village
4951101,9020,Central,Cherkasy,,,,,40,Cherkaska Oblast,Village
4962626,5427,Central,Cherkasy,,,,,115,Cherkaska Oblast,Town up to 20 000 inhabitants
4907726,5592,Central,Cherkasy,Manager without any relationship to owner,Male,26,Higher (master degree or PhD),142,Cherkaska Oblast,Village
4981908,8367,Central,Cherkasy,,,,,108,Cherkaska Oblast,Town up to 20 000 inhabitants
4900238,539,Central,Cherkasy,Manager without any relationship to owner,Female,45,Higher (master degree or PhD),1800,Cherkaska Oblast,Village
4828652,3187,Central,Cherkasy,Manager without any relationship to owner,Female,48,Higher (master degree or PhD),557,Cherkaska Oblast,Village
4977543,10524,Central,Cherkasy,Manager without any relationship to owner,Female,48,Base higher (bachelor degree),149,Cherkaska Oblast,City 100-499 000 inhabitants
6401832,7649,Central,Cherkasy,Manager without any relationship to owner,Male,53,Higher (master degree or PhD),1100,Cherkaska Oblast,Urban-type settlement (SMT)
4914433,6777,Central,Cherkasy,Manager without any relationship to owner,Female,42,Higher (master degree or PhD),2100,Cherkaska Oblast,Village
4903175,6826,Central,Cherkasy,,,,,6,Cherkaska Oblast,City 100-499 000 inhabitants
4851071,986,Central,Cherkasy,,,,,100,Cherkaska Oblast,Village
4923214,6734,Central,Cherkasy,Manager without any relationship to owner,Female,55,Higher (master degree or PhD),200,Cherkaska Oblast,Village
4952395,9202,Central,Cherkasy,,,,,2,Cherkaska Oblast,Village
4901675,7177,Central,Cherkasy,,,,,6,Cherkaska Oblast,City 100-499 000 inhabitants
4965310,5444,Central,Cherkasy,,,,,180,Cherkaska Oblast,Village
4808967,1874,Central,Cherkasy,,,,,20,Cherkaska Oblast,Village
6296116,11369,Central,Cherkasy,,,,,50,Cherkaska Oblast,Village
4794010,1575,Central,Cherkasy,,,,,111,Cherkaska Oblast,Village
4794397,656,Central,Cherkasy,,,,,153,Cherkaska Oblast,Village
4837363,2621,Central,Cherkasy,,,,,2,Cherkaska Oblast,Village
4785271,279,Central,Cherkasy,,,,,11,Cherkaska Oblast,Village
4929905,6941,Central,Cherkasy,,,,,80,Cherkaska Oblast,Village
6378399,1114,Central,Cherkasy,,,,,170,Cherkaska Oblast,Urban-type settlement (SMT)
4768178,4028,Central,Cherkasy,Manager without any relationship to owner,Female,45,Higher (master degree or PhD),149,Cherkaska Oblast,Town 20 - 49 000 inhabitants
4846503,2893,Central,Cherkasy,,,,,300,Cherkaska Oblast,Village
4806439,3442,Central,Cherkasy,,,,,54,Cherkaska Oblast,Village
4967736,5941,Central,Cherkasy,,,,,120,Cherkaska Oblast,Village
6373079,3170,Central,Cherkasy,,,,,73,Cherkaska Oblast,Village
4794774,4990,Central,Cherkasy,,,,,111,Cherkaska Oblast,Village
4914495,5307,Central,Cherkasy,,,,,50,Cherkaska Oblast,Town 20 - 49 000 inhabitants
4794778,2951,Central,Cherkasy,,,,,74,Cherkaska Oblast,Village
4757944,192,Central,Cherkasy,,,,,100,Cherkaska Oblast,Village
4967525,10251,Central,Cherkasy,,,,,130,Cherkaska Oblast,Urban-type settlement (SMT)
4906194,5063,Central,Cherkasy,Manager without any relationship to owner,Female,48,Higher (master degree or PhD),201,Cherkaska Oblast,Village
4794658,1188,Central,Cherkasy,,,,,120,Cherkaska Oblast,Village
4780096,439,Central,Cherkasy,,,,,200,Cherkaska Oblast,Village
4781690,4899,Central,Cherkasy,Manager without any relationship to owner,Female,38,Base higher (bachelor degree),95,Cherkaska Oblast,Village
4963744,7119,Central,Cherkasy,,,,,163,Cherkaska Oblast,Village
4979489,9690,Central,Cherkasy,Manager without any relationship to owner,Female,29,Higher (master degree or PhD),1465,Cherkaska Oblast,Village
4862988,956,Central,Cherkasy,,,,,64,Cherkaska Oblast,Village
4883959,6126,Central,Cherkasy,,,,,50,Cherkaska Oblast,Village
4997893,9106,Central,Cherkasy,Manager without any relationship to owner,Female,40,Higher (master degree or PhD),533,Cherkaska Oblast,Village
4786088,1146,Central,Cherkasy,,,,,60,Cherkaska Oblast,Village
4798175,730,Central,Cherkasy,,,,,120,Cherkaska Oblast,Village
4801423,652,Central,Cherkasy,,,,,295,Cherkaska Oblast,Village
4793531,2316,Central,Cherkasy,,,,,5,Cherkaska Oblast,Village
4991175,8481,Central,Cherkasy,,,,,71,Cherkaska Oblast,Village
4904280,5663,Central,Cherkasy,,,,,100,Cherkaska Oblast,City 100-499 000 inhabitants
4984641,9611,Central,Cherkasy,,,,,254,Cherkaska Oblast,Village
6296696,11346,Central,Cherkasy,Relative of owner but not household member,Male,43,Higher (master degree or PhD),80,Cherkaska Oblast,Village
4797911,2238,Central,Cherkasy,Manager without any relationship to owner,Female,57,Higher (master degree or PhD),1900,Cherkaska Oblast,Village
4757369,2321,Central,Cherkasy,,,,,124,Cherkaska Oblast,Village
5025007,584,Central,Cherkasy,Manager without any relationship to owner,Male,30,Higher (master degree or PhD),80,Cherkaska Oblast,Village
4899844,4411,Central,Cherkasy,,,,,63,Cherkaska Oblast,Village
4787887,399,Central,Cherkasy,,,,,53,Cherkaska Oblast,Village
4939686,1360,Central,Cherkasy,Manager without any relationship to owner,Female,35,Higher (master degree or PhD),440,Cherkaska Oblast,Urban-type settlement (SMT)
4903830,6814,Central,Cherkasy,,,,,70,Cherkaska Oblast,Village
5005415,10643,Central,Cherkasy,,,,,450,Cherkaska Oblast,Village
4810428,2466,Central,Cherkasy,,,,,118,Cherkaska Oblast,Urban-type settlement (SMT)
4896529,6644,Central,Cherkasy,,,,,10,Cherkaska Oblast,Town 50 - 99 000 inhabitants
4880465,2110,Central,Cherkasy,,,,,80,Cherkaska Oblast,Village
4794206,2269,Central,Cherkasy,,,,,100,Cherkaska Oblast,Village
4900687,6239,Central,Cherkasy,,,,,6,Cherkaska Oblast,Village
6373597,11327,Central,Cherkasy,,,,,51,Cherkaska Oblast,Town 50 - 99 000 inhabitants
4916468,5173,Central,Cherkasy,,,,,104,Cherkaska Oblast,Village
5022898,1041,Central,Cherkasy,,,,,150,Cherkaska Oblast,Urban-type settlement (SMT)
5034475,6078,Central,Cherkasy,,,,,53,Cherkaska Oblast,Village
4985660,9780,Central,Cherkasy,,,,,1100,Cherkaska Oblast,Village
4795262,1066,Central,Cherkasy,,,,,112,Cherkaska Oblast,Village
4913524,5815,Central,Cherkasy,,,,,100,Cherkaska Oblast,Village
4905325,5787,Central,Cherkasy,,,,,60,Cherkaska Oblast,Village
4885514,4203,Central,Cherkasy,Relative of owner but not household member,Female,51,Higher (master degree or PhD),19,Cherkaska Oblast,Village
4897344,1141,Central,Cherkasy,,,,,85,Cherkaska Oblast,Urban-type settlement (SMT)
4793359,1891,Central,Cherkasy,,,,,60,Cherkaska Oblast,Village
4757383,2999,Central,Cherkasy,,,,,98,Cherkaska Oblast,Village
4919260,4518,Central,Cherkasy,,,,,150,Cherkaska Oblast,Village
4824823,283,Central,Cherkasy,Manager without any relationship to owner,Male,56,Higher (master degree or PhD),1700,Cherkaska Oblast,Village
4905288,6934,Central,Cherkasy,Manager without any relationship to owner,Female,44,Higher (master degree or PhD),72,Cherkaska Oblast,Urban-type settlement (SMT)
6395039,64,Central,Cherkasy,,,,,80,Cherkaska Oblast,Village
4986885,7900,Central,Cherkasy,,,,,360,Cherkaska Oblast,Urban-type settlement (SMT)
4886907,7008,Central,Cherkasy,,,,,36,Cherkaska Oblast,City 100-499 000 inhabitants
4991792,8807,Central,Cherkasy,,,,,103,Cherkaska Oblast,Village
6298544,11375,Central,Cherkasy,,,,,86,Cherkaska Oblast,Village
4966573,6798,Central,Cherkasy,,,,,26,Cherkaska Oblast,Village
