CASE_ID,FARM_ID,member_id,relation_type,other_relation,house_head,sex,age,highest_edu,bank_status,socialmedia,current_location,current_status,status_2021,current_monthly_income,monthly_income_2021
4754249,236,1,1,,Yes,Male,62,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Pensioner,"Work based on engagement contract, author contract",,
4754562,2537,1,1,,Yes,Male,22,Base higher (bachelor degree),Yes,Yes,This village,Student,Student,2000 to 5000 UAH,2000 to 5000 UAH
4754562,2537,2,Mother/Farther,,Yes,Male,43,Base higher (bachelor degree),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4754562,2537,3,Mother/Farther,,No,Female,43,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4754770,4283,1,1,,Yes,Male,59,Primary school,Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",No income,No income
4754770,4283,2,Daughter/Son,,No,Male,37,Some secondary school,No,,Another village in the same Rayon,Unemployed (seeking for job),Employed by an employer (in the private or public sector),No income,No income
4754770,4283,3,Daughter/Son,,No,Male,35,Some secondary school,No,,Another village in the same Rayon,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",No income,No income
4754770,4283,4,Daughter/Son,,No,Male,33,Higher (master degree or PhD),Yes,,Another village in the same Rayon,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",,
4754770,4283,5,Daughter/Son,,No,Female,28,Some secondary school,,,Another village in the same Rayon,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),,No income
4754770,4283,6,Daughter/Son,,No,Female,22,Some secondary school,No,,Another village in the same Rayon,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),No income,No income
4754770,4283,7,Spouse,,No,Female,53,Some secondary school,No,No,Another village in the same Rayon,Pensioner,Pensioner,Up to 2 000 UAH,Up to 2 000 UAH
4754811,2703,1,1,,Yes,Male,34,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",5000 to 10000 UAH,10000 to 15000 UAH
4754811,2703,2,Spouse,,No,Female,32,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4754819,355,1,1,,Yes,Male,69,Higher (master degree or PhD),Yes,,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4754819,355,2,Spouse,,,Female,60,,Yes,,This village,Pensioner,Employed by an employer (in the private or public sector),,5000 to 10000 UAH
4754819,355,3,Daughter/Son,,,Female,30,,,,This village,,,,
4754819,355,4,Spouse,,,Male,30,,,,,,,,
4754819,355,5,Spouse,,,Female,30,,,,,,,,
4754819,355,6,Spouse,,,Male,35,,,,,,,,
4754837,4578,1,1,,Yes,Female,32,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,10000 to 15000 UAH
4754837,4578,2,Spouse,,No,Male,32,Higher (master degree or PhD),Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,More than 15000 UAH
